Date,Close,Volume,Asset
2020-01-01,99.23211591194702,3899,AAPL
2020-01-02,100.3707714547954,3201,AAPL
2020-01-03,100.36357777359305,1123,AAPL
2020-01-04,99.82686153795075,3431,AAPL
2020-01-05,98.64403280453567,2677,AAPL
2020-01-06,98.03951749193251,2572,AAPL
2020-01-07,98.69325234222252,3483,AAPL
2020-01-08,99.34690912717019,2680,AAPL
2020-01-09,99.3393023751042,1847,AAPL
2020-01-10,99.59838506051277,3823,AAPL
2020-01-11,99.5247067598258,3606,AAPL
2020-01-12,100.29258984227714,1774,AAPL
2020-01-13,101.98387305893938,1114,AAPL
2020-01-14,100.14458843462032,2539,AAPL
2020-01-15,101.18400574254024,2823,AAPL
2020-01-16,101.09560227983329,4979,AAPL
2020-01-17,103.38710473136659,4110,AAPL
2020-01-18,103.75401291261811,2029,AAPL
2020-01-19,103.33818386790004,1876,AAPL
2020-01-20,102.90251011261162,3463,AAPL
2020-01-21,101.46229607488404,1243,AAPL
2020-01-22,100.73307648535558,3625,AAPL
2020-01-23,100.66813729865,1112,AAPL
2020-01-24,99.06871217789119,3919,AAPL
2020-01-25,98.71724576638518,4994,AAPL
2020-01-26,99.43077800613199,1020,AAPL
2020-01-27,100.49647642320251,4787,AAPL
2020-01-28,98.63759315336951,4043,AAPL
2020-01-29,99.66312027217566,2682,AAPL
2020-01-30,99.54225141518017,2897,AAPL
2020-01-31,99.0087824465861,3851,AAPL
2020-02-01,97.45677957393814,4544,AAPL
2020-02-02,97.22580933435569,1211,AAPL
2020-02-03,98.19631421655215,2571,AAPL
2020-02-04,99.18782028203196,3476,AAPL
2020-02-05,99.28279653624202,3000,AAPL
2020-02-06,99.9999964804163,1005,AAPL
2020-02-07,97.77178193680894,2252,AAPL
2020-02-08,98.53466919088918,1343,AAPL
2020-02-09,97.31951222240451,4515,AAPL
2020-02-10,94.77513466016408,4572,AAPL
2020-02-11,93.71689257638249,3778,AAPL
2020-02-12,93.14060045150623,2479,AAPL
2020-02-13,92.81681613265808,4640,AAPL
2020-02-14,93.77043426842417,4952,AAPL
2020-02-15,93.33914594231905,4459,AAPL
2020-02-16,94.73014694354147,2629,AAPL
2020-02-17,94.14285772905063,3452,AAPL
2020-02-18,94.66320637735178,1549,AAPL
2020-02-19,94.69294058618974,2974,AAPL
2020-02-20,93.75732196918925,1699,AAPL
2020-02-21,93.8554345889044,3856,AAPL
2020-02-22,94.9175049715968,4410,AAPL
2020-02-23,95.19291725351837,4192,AAPL
2020-02-24,95.38399090431386,2674,AAPL
2020-02-25,95.10476424543891,3295,AAPL
2020-02-26,95.71862972224697,1949,AAPL
2020-02-27,97.09300981219721,3542,AAPL
2020-02-28,96.6534600087438,4583,AAPL
2020-02-29,96.35855575713256,4866,AAPL
2020-03-01,96.80451464802668,4626,AAPL
2020-03-02,95.76958637706099,3593,AAPL
2020-03-03,95.75652970847227,1911,AAPL
2020-03-04,96.27339673226707,2494,AAPL
2020-03-05,97.3016327982751,1889,AAPL
2020-03-06,98.4884246947547,2315,AAPL
2020-03-07,97.03107133302564,2222,AAPL
2020-03-08,95.02229769334379,4701,AAPL
2020-03-09,93.60499655169349,3043,AAPL
2020-03-10,94.352296600219,3710,AAPL
2020-03-11,95.29446162623684,2033,AAPL
2020-03-12,96.4571970786698,4037,AAPL
2020-03-13,96.47403031559237,3208,AAPL
2020-03-14,99.03555659494556,2937,AAPL
2020-03-15,98.7392925913109,4241,AAPL
2020-03-16,97.58954455704448,3726,AAPL
2020-03-17,96.26327439860007,2340,AAPL
2020-03-18,97.56331869954978,2002,AAPL
2020-03-19,96.98583268734313,4895,AAPL
2020-03-20,97.98765639693866,3403,AAPL
2020-03-21,98.6809739016493,2063,AAPL
2020-03-22,97.60318556909343,2731,AAPL
2020-03-23,97.49254616331132,4978,AAPL
2020-03-24,97.97467538404307,2689,AAPL
2020-03-25,97.60261310339352,2711,AAPL
2020-03-26,98.09016702343935,3468,AAPL
2020-03-27,99.2868050028295,1552,AAPL
2020-03-28,100.40264894815019,3129,AAPL
2020-03-29,101.65974666947714,4254,AAPL
2020-03-30,101.48335629547175,2981,AAPL
2020-03-31,102.57068566004939,3930,AAPL
2020-04-01,103.40510402454261,2717,AAPL
2020-04-02,104.14113692034363,4964,AAPL
2020-04-03,104.11284858536995,1019,AAPL
